music_id,user_id,title,ensemble,instrument,genre,key,date,duration,original_author,original_title,public_domain,favorites,difficulty,pages,views,parts,link
3854486,,Yiruma - Kiss the Rain - 10th Anniversary Version (Piano),Solo,['Piano'],,"['A♭ major', 'F minor']","May 05, 2017",04:40,,,NE,42138,Intermediate,5,1045922,1,https://musescore.com/user/48323/scores/3854486
5444126,,Someone You Loved,Solo,['Piano'],,"['D♭ major', 'B♭ minor']","Feb 13, 2019",02:52,,,NE,54150,Intermediate,3,1295765,1,https://musescore.com/user/7839851/scores/5444126
2441471,,Wet Hands (Minecraft),Solo,['Piano'],,"['A major', 'F♯ minor']","Jul 28, 2016",01:31,,,NE,28415,Beginner,1,815947,1,https://musescore.com/user/2466621/scores/2441471
3493496,,Believer - Imagine Dragons,Solo,['Piano'],,"['D♭ major', 'B♭ minor']","Mar 01, 2017",03:12,,,NE,51931,Intermediate,5,1105528,1,https://musescore.com/user/14152056/scores/3493496
49143,,"Piano Sonata No. 11 K. 331 3rd Movement, “Rondo alla Turca”",Solo,['Piano'],,"['C major', 'A minor']","May 18, 2012",03:44,,,DA,23818,Intermediate,5,705064,1,https://musescore.com/user/19710/scores/49143
2377386,,G Minor Bach,Solo,['Piano'],,"['B♭ major', 'G minor']","Jul 10, 2016",02:38,,,DA,15915,,4,500174,2,https://musescore.com/user/10919536/scores/2377386
5960975,,What falling in love feels like - jake25.17  (fanmade extended version),Solo,['Piano'],,[],"Feb 08, 2020",,,,NE,27433,Intermediate,3,628855,1,https://musescore.com/user/26067266/scores/5960975
3062416,,All I Want For Christmas Is You For Piano,Solo,['Piano'],,"['G major', 'E minor']","Dec 11, 2016",03:13,,,NE,32056,Intermediate,4,801707,1,https://musescore.com/user/1250481/scores/3062416
64978,,Mad world Piano,Solo,['Piano'],,"['A♭ major', 'F minor']","Sep 27, 2012",02:47,,,NE,51055,Beginner,2,1049312,1,https://musescore.com/user/34478/scores/64978
3387831,,Mariage d'Amour,Solo,['Piano'],,"['B♭ major', 'G minor']","Feb 10, 2017",03:47,,,DA,23550,Intermediate,7,693916,1,https://musescore.com/user/97638/scores/3387831
106022,,"Étude in G♯ Minor, “La Campanella” S. 141/3",Solo,['Piano'],,"['B major', 'G♯ minor']","May 12, 2013",03:58,,,DA,19771,,12,815680,1,https://musescore.com/user/19710/scores/106022
162108,,The Entertainer - Scott Joplin,Piano Duo,['Piano'],,"['C major', 'A minor']","Feb 10, 2014",04:21,,,DA,26733,,5,668518,2,https://musescore.com/user/167019/scores/162108
